[2026-02-14 13:42:11] [INFO] === Starting Background Mode ===
[2026-02-14 13:42:11] [INFO] Computer: <COMPUTER_NAME> | User: <USERNAME>
[2026-02-14 13:42:12] [INFO] Source: <SOURCE_PATH>
[2026-02-14 13:42:12] [INFO] Destination: <BACKUP_PATH>
[2026-02-14 13:42:12] [INFO] Archive: <ARCHIVE_PATH>
[2026-02-14 13:43:01] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:43:11] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:43:21] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:43:31] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:43:41] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:43:51] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:44:01] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:44:11] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:44:21] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:44:31] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:44:41] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:44:51] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:45:01] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:45:11] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:45:21] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:45:31] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:45:41] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:45:51] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:46:02] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:46:12] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:46:22] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:46:32] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:46:42] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:46:52] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:47:02] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:47:12] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:47:22] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:47:32] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:47:42] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:47:52] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:48:02] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:48:12] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:48:22] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:48:32] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:48:42] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:48:52] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:49:02] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:49:12] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:49:22] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:49:32] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:49:42] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:49:52] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:50:02] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:50:12] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:50:22] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:50:32] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:50:42] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:50:52] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:51:03] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:51:36] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:51:46] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:51:56] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:52:06] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:52:16] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:52:26] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:52:36] [INFO] Periodic scan detected change: <RELATIVE_PATH>\For... Next Loops.xlsm - Backing up...
[2026-02-14 13:52:36] [INFO] File copied: <SOURCE_PATH>\<RELATIVE_PATH>\For... Next Loops.xlsm
[2026-02-14 13:52:36] [INFO] OneDrive: Marked as online-only (free up space): <BACKUP_PATH>\<RELATIVE_PATH>\For... Next Loops.xlsm
[2026-02-14 13:52:36] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:52:46] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:52:56] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:53:06] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:53:16] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:53:26] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:53:36] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:53:46] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:53:56] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:54:07] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:54:17] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:54:27] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:54:37] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:54:47] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:54:57] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:55:07] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:55:17] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:55:27] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:55:37] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:55:47] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:55:57] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:56:07] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:56:17] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:56:27] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:56:37] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:56:47] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:56:57] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:57:07] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:57:17] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:57:27] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:57:37] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:57:47] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:57:57] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:58:07] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:58:18] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:58:28] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:58:38] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:58:48] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:58:58] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:59:08] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:59:18] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:59:28] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:59:38] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:59:48] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 13:59:58] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 14:00:08] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 14:00:18] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 14:00:28] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 14:00:38] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 14:00:48] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 14:00:58] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 14:01:08] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 14:01:18] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 14:01:28] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 14:01:38] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 14:01:48] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 14:01:58] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 14:02:08] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 14:02:18] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 14:02:28] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 14:02:38] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 14:02:48] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 14:02:58] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 14:03:09] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 14:03:19] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 14:03:29] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 14:03:39] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 14:03:49] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 14:03:59] [INFO] Monitoring active - Source: <SOURCE_PATH>
[2026-02-14 14:04:09] [INFO] Monitoring active - Source: <SOURCE_PATH>
